genome	path	time	node	host
Rs4247.Bat-R_sinicus.Yunnan-Kunming.KY417148.2013-04-17	0.4280599122	2013.2904109589	13	Bat
Rs4255.Bat-R_sinicus.Yunnan-Kunming.KY417149.2013-04-17	0.423523583	2013.2904109589	11	Bat
Rs4874.Bat-R_sinicus.Yunnan-Kunming.KY417150.2013-07-21	0.4310608263	2013.55068493151	15	Bat
Rs672.Bat-R_sinicus.Guizhou.FJ588686.2006-09	0.4239319583	2006.70410958904	7	Bat
Rs7327.Bat-R_sinicus.Yunnan--Kunming.KY417151.2014-10-24	0.4238932389	2014.81095890411	9	Bat
Rs9401.Bat-R_sinicus.Yunnan-Kunming.KY417152.2015-10-16	0.4212485235	2015.78904109589	10	Bat
RsSHC014.Bat-R_sinicus.Yunnan-Kunming.KC881005.2011-04-17	0.4236539223	2011.2904109589	10	Bat
SX2013.Bat-R_ferrumequinum.Shanxi.KJ473813.2013-11	0.4626947605	2013.87123287671	8	Bat
WIV1.Bat-R_sinicus.Yunnan-Kunming.KF367457.2012-09	0.4231244487	2012.70491803279	12	Bat
WIV16.Bat-R_sinicus.Yunnan-Kunming.KT444582.2013-07-21	0.4309747379	2013.55068493151	15	Bat
Wuhan-Hu-1.SARS-CoV-2.Wuhan.MN908947.2019-12	0.6201135561	2019.95616438356	4	Human
YN2013.Bat-R_sinicus.Yunnan.KJ473816.2010-12	0.4217314849	2010.95616438356	9	Bat
YN2018A.Bat-R_affinis.Yunnan.MK211375.2016-09	0.4243663455	2016.70491803279	8	Bat
YN2018B.Bat-R_affinis.Yunnan.MK211376.2016-09	0.4242717522	2016.70491803279	13	Bat
YN2018C.Bat-R_affinis.Yunnan-Kunming.MK211377.2016-09	0.4227417032	2016.70491803279	11	Bat
YN2018D.Bat-R_affinis.Yunnan.MK211378.2016-09	0.4289392434	2016.70491803279	13	Bat
YNLF_31C.Bat-R_Ferrumequinum.Yunnan-Lufeng.KP886808.2013-05-23	0.4291943623	2013.38904109589	7	Bat
YNLF_34C.Bat-R_Ferrumequinum.Yunnan-Lufeng.KP886809.2013-05-23	0.4300152911	2013.38904109589	7	Bat
Yunnan2011.Bat-Chaerephon_plicata.Yunnan.JX993988.2011-11	0.4346974393	2011.87123287671	4	Bat
