genome	path	time	node	continent
EPI_ISL_415641	0.000133628	2020.15573770492	27	Asia
EPI_ISL_415651	0.000267278	2020.17486338798	58	Europe
EPI_ISL_415661	0.000166923	2020.18306010929	15	South America
EPI_ISL_416318	6.6745e-05	2020.0737704918	3	Asia
EPI_ISL_416402	3.3376e-05	2020.11202185792	1	Asia
EPI_ISL_416407	0.000300479	2020.12295081967	26	Asia
EPI_ISL_416442	0.000167074	2020.18852459016	28	North America
EPI_ISL_416456	0.000167099	2020.17759562842	33	North America
EPI_ISL_416512	0.000311797	2020.18032786885	63	Europe
EPI_ISL_416567	0.000133567	2020.12295081967	19	Asia
EPI_ISL_416578	0.000100206	2020.12295081967	17	Asia
EPI_ISL_416604	0.00013363	2020.12568306011	25	Asia
EPI_ISL_416608	0.000100235	2020.12841530055	18	Asia
EPI_ISL_416615	0.000134332	2020.12841530055	9	Asia
EPI_ISL_416625	0.000166975	2020.12841530055	25	Asia
EPI_ISL_416647	0.000278449	2020.1912568306	69	North America
EPI_ISL_416649	0.000200477	2020.1912568306	32	North America
EPI_ISL_416650	0.000300506	2020.18852459016	29	North America
EPI_ISL_416655	0.000311786	2020.1912568306	67	North America
EPI_ISL_416671	0.000311792	2020.19398907104	61	North America
EPI_ISL_416675	0.00033825	2020.1912568306	34	North America
EPI_ISL_416679	0.000233777	2020.1912568306	32	North America
EPI_ISL_416696	0.000133593	2020.19672131148	12	North America
EPI_ISL_416709	0.000233747	2020.19672131148	24	North America
EPI_ISL_416712	0.000200364	2020.19945355191	20	North America
EPI_ISL_416722	0.000167044	2020.19398907104	26	North America
EPI_ISL_416726	0.000233734	2020.19672131148	24	North America
EPI_ISL_416728	0.000200476	2020.19672131148	30	North America
EPI_ISL_417006	0.000389688	2020.17486338798	72	Europe
EPI_ISL_417085	0.000200418	2020.16666666667	31	North America
EPI_ISL_417086	0.000200399	2020.16393442623	27	North America
EPI_ISL_417087	0.000167039	2020.16666666667	28	North America
EPI_ISL_417117	0.000200389	2020.1693989071	27	North America
EPI_ISL_417136	0.000200396	2020.17486338798	25	North America
EPI_ISL_417163	0.000267201	2020.17486338798	32	North America
EPI_ISL_417178	0.000133629	2020.06557377049	27	Asia
EPI_ISL_417200	0.000233656	2020.21857923497	14	North America
EPI_ISL_417257	0.000233833	2020.1693989071	44	Europe
EPI_ISL_417264	0.000100265	2020.17213114754	25	Europe
EPI_ISL_417267	0.00020037	2020.17486338798	31	Europe
EPI_ISL_417270	0.000233793	2020.17759562842	40	Europe
EPI_ISL_417285	0.000200429	2020.17759562842	20	Europe
EPI_ISL_417315	0.000267187	2020.19672131148	48	Europe
EPI_ISL_417336	0.000245031	2020.17759562842	50	Europe
EPI_ISL_417366	0.000233804	2020.19945355191	32	North America
EPI_ISL_417368	0.000267157	2020.19672131148	30	North America
EPI_ISL_417374	0.00030057	2020.20218579235	32	North America
EPI_ISL_417392	0.000267156	2020.18852459016	30	Oceania
EPI_ISL_417445	0.000433959	2020.14754098361	43	Europe
EPI_ISL_417481	0.000233855	2020.19672131148	51	Europe
EPI_ISL_417502	0.000233723	2020.19945355191	32	North America
EPI_ISL_417503	0.000300562	2020.19945355191	31	North America
EPI_ISL_417519	0.000267113	2020.17486338798	30	Asia
EPI_ISL_417529	0.000267169	2020.21038251366	45	Europe
EPI_ISL_417532	0.000356341	2020.21038251366	73	Europe
EPI_ISL_417590	0.000204902	2020.21038251366	46	Europe
EPI_ISL_417606	0.000204908	2020.20765027322	40	Europe
EPI_ISL_417631	0.000287613	2020.21038251366	71	Europe
EPI_ISL_417642	0.000567791	2020.21038251366	75	Europe
EPI_ISL_417646	0.000267199	2020.21038251366	43	Europe
EPI_ISL_417648	0.000378574	2020.21038251366	52	Europe
EPI_ISL_417684	0.000400792	2020.17759562842	68	Europe
EPI_ISL_417732	0.000304876	2020.18852459016	31	Europe
EPI_ISL_417757	0.000400799	2020.17759562842	69	Europe
EPI_ISL_417762	0.000333989	2020.20491803279	32	Europe
EPI_ISL_417797	0.000378579	2020.19672131148	68	Europe
EPI_ISL_417816	0.000367530000000001	2020.20491803279	76	Europe
EPI_ISL_417856	0.000278424	2020.18032786885	63	Europe
EPI_ISL_417970	0.000311954	2020.20491803279	78	North America
EPI_ISL_417974	0.000200412	2020.2131147541	40	North America
EPI_ISL_417988	0.000233802	2020.17486338798	44	Europe
EPI_ISL_418011	0.000334026	2020.17213114754	63	Europe
EPI_ISL_418020	0.000233885	2020.20491803279	42	Europe
EPI_ISL_418036	0.000345241	2020.19672131148	77	North America
EPI_ISL_418050	0.000233822	2020.20491803279	29	North America
EPI_ISL_418069	0.000200518	2020.19945355191	27	North America
EPI_ISL_418139	0.000233831	2020.20491803279	50	Europe
EPI_ISL_418187	0.000233772	2020.22404371585	30	North America
EPI_ISL_418196	0.000311826	2020.19945355191	68	North America
EPI_ISL_418212	0.000233822	2020.1912568306	47	Africa
EPI_ISL_418213	0.000267243	2020.19398907104	47	Africa
EPI_ISL_418217	0.000278369	2020.19672131148	55	Africa
EPI_ISL_418224	0.000311815	2020.18306010929	67	Europe
EPI_ISL_418271	0.000334132	2020.15573770492	76	Europe
EPI_ISL_418305	0.00033403	2020.22950819672	68	Europe
EPI_ISL_418405	0.000300495	2020.19945355191	40	Europe
EPI_ISL_418516	0.000367368	2020.17759562842	62	Europe
EPI_ISL_418581	0.000334033	2020.18306010929	61	Europe
EPI_ISL_418646	0.000348019	2020.21857923497	65	Europe
EPI_ISL_418669	0.000333802	2020.1912568306	29	Europe
EPI_ISL_418748	0.000200472	2020.21038251366	44	Europe
EPI_ISL_418829	0.000133607	2020.18852459016	17	North America
EPI_ISL_418841	0.000200395	2020.1912568306	25	North America
EPI_ISL_418854	0.000166954	2020.1912568306	16	North America
EPI_ISL_418861	0.000367416	2020.22677595628	68	Europe
EPI_ISL_418892	0.000200409	2020.20491803279	28	North America
EPI_ISL_418905	0.000200453	2020.20491803279	31	North America
EPI_ISL_418918	0.000311844	2020.19672131148	71	North America
EPI_ISL_418928	0.000267331	2020.20218579235	32	North America
EPI_ISL_418942	0.000167728	2020.20765027322	27	North America
EPI_ISL_418979	0.000278456	2020.20765027322	67	North America
EPI_ISL_419184	0.000278355	2020.22131147541	51	Europe
EPI_ISL_419187	0.000300594	2020.22131147541	47	Europe
EPI_ISL_419216	0.000267065	2020.10928961749	30	Asia
EPI_ISL_419245	0.00040085	2020.14207650273	30	Asia
EPI_ISL_419247	0.000233712	2020.14754098361	30	Asia
EPI_ISL_419297	0.000278467	2020.18852459016	63	Asia
EPI_ISL_419453	0.000233816	2020.2131147541	40	Europe
EPI_ISL_419541	0.000278404	2020.19945355191	59	Europe
EPI_ISL_419562	0.000233812	2020.16120218579	39	Europe
EPI_ISL_419596	0.000367518	2020.19398907104	73	Europe
EPI_ISL_419601	0.000356346	2020.20218579235	72	Europe
EPI_ISL_419603	0.000278514	2020.20491803279	72	Europe
EPI_ISL_419703	0.000378629	2020.21038251366	81	North America
EPI_ISL_419787	0.000233915	2020.19945355191	54	Oceania
EPI_ISL_419811	0.000411899	2020.20491803279	58	Oceania
EPI_ISL_419818	0.000412037	2020.20765027322	75	Oceania
EPI_ISL_419828	0.00033398	2020.22131147541	55	Oceania
EPI_ISL_419832	0.000167001	2020.1393442623	27	Oceania
EPI_ISL_419842	0.000300536	2020.20765027322	34	Oceania
EPI_ISL_419848	0.000271635	2020.20765027322	41	Oceania
EPI_ISL_419869	0.000267156	2020.21038251366	43	Oceania
EPI_ISL_419875	0.000367413	2020.21038251366	68	Oceania
EPI_ISL_419881	0.000345155	2020.2131147541	65	Oceania
EPI_ISL_419882	0.000233796	2020.2131147541	41	Oceania
EPI_ISL_419893	0.000334046	2020.2131147541	69	Oceania
EPI_ISL_419941	0.000345197	2020.21857923497	66	Oceania
EPI_ISL_419953	0.000478739	2020.21857923497	77	Oceania
EPI_ISL_419957	0.000300555	2020.22131147541	44	Oceania
EPI_ISL_419988	0.00043416	2020.22404371585	76	Oceania
EPI_ISL_420026	0.000367282	2020.2349726776	42	North America
EPI_ISL_420041	0.000278429	2020.20765027322	61	Europe
EPI_ISL_420060	0.000345081	2020.21584699454	49	Europe
EPI_ISL_420072	0.000345309	2020.21038251366	62	Africa
EPI_ISL_420115	0.000200343	2020.18579234973	20	Europe
EPI_ISL_420151	6.6846e-05	2020.20765027322	20	Europe
EPI_ISL_420156	0.000240637	2020.2349726776	45	Europe
EPI_ISL_420169	0.000367452	2020.22950819672	47	Europe
EPI_ISL_420197	0.000400899	2020.23770491803	75	Europe
EPI_ISL_420205	0.000333973	2020.24043715847	47	Europe
EPI_ISL_420207	0.00033393	2020.24043715847	43	Europe
EPI_ISL_420219	0.000334019	2020.23770491803	63	Europe
EPI_ISL_420220	0.000367365	2020.23770491803	62	Europe
EPI_ISL_420232	0.000267123	2020.22950819672	38	Europe
EPI_ISL_420233	0.000300541	2020.22950819672	40	Europe
EPI_ISL_420246	0.000401058	2020.22950819672	28	Europe
EPI_ISL_420252	0.000233751	2020.22677595628	31	Europe
EPI_ISL_420259	0.000200395	2020.22677595628	32	Europe
EPI_ISL_420270	0.000322826	2020.22131147541	48	Europe
EPI_ISL_420280	0.000100206	2020.21857923497	17	Europe
EPI_ISL_420287	0.000267534	2020.21584699454	52	Europe
EPI_ISL_420359	0.000267205	2020.21038251366	50	Europe
EPI_ISL_420388	0.000267616	2020.22677595628	38	Europe
EPI_ISL_420407	0.00030062	2020.22677595628	52	Europe
EPI_ISL_420431	0.000300577	2020.22677595628	48	Europe
EPI_ISL_420432	0.000267218	2020.22404371585	53	Europe
EPI_ISL_420563	0.000200412	2020.21038251366	40	Europe
EPI_ISL_420568	0.000300654	2020.22404371585	60	Europe
EPI_ISL_420573	0.000345271	2020.21038251366	78	North America
EPI_ISL_420586	0.000200447	2020.2131147541	44	North America
EPI_ISL_420608	0.000278363	2020.22404371585	50	Europe
EPI_ISL_420609	0.000267297	2020.22404371585	61	Europe
EPI_ISL_420630	0.000311864	2020.22404371585	71	North America
EPI_ISL_420648	0.000267162	2020.22404371585	43	Europe
EPI_ISL_420683	0.000234055	2020.23770491803	21	Europe
EPI_ISL_420702	0.000412716	2020.2349726776	70	Europe
EPI_ISL_420730	0.000302901000000001	2020.2349726776	76	Europe
EPI_ISL_420741	0.000401117	2020.2349726776	70	Europe
EPI_ISL_420748	0.000300503	2020.23770491803	37	Europe
EPI_ISL_420753	0.000334101	2020.22950819672	43	Europe
EPI_ISL_420756	0.000334038	2020.2349726776	60	Europe
EPI_ISL_420761	0.000378838	2020.22950819672	70	Europe
EPI_ISL_420789	6.6801e-05	2020.16393442623	12	North America
EPI_ISL_420839	0.000311802	2020.22131147541	58	Africa
EPI_ISL_420901	0.000267203	2020.19398907104	45	Europe
EPI_ISL_420943	0.000133733	2020.21857923497	33	Europe
EPI_ISL_420994	0.000167008	2020.22404371585	30	Europe
EPI_ISL_421002	0.000200395	2020.22404371585	30	Europe
EPI_ISL_421009	0.000200396	2020.22404371585	33	Europe
EPI_ISL_421259	0.000100243	2020.07103825137	25	Asia
EPI_ISL_421261	0.000233703	2020.07650273224	23	Asia
EPI_ISL_421290	0.000333952	2020.22677595628	57	North America
EPI_ISL_421293	0.000333956	2020.22677595628	57	North America
EPI_ISL_421297	0.000200428	2020.22131147541	28	North America
EPI_ISL_421317	0.000233736	2020.22677595628	21	North America
EPI_ISL_421319	0.000233698	2020.22404371585	14	North America
EPI_ISL_421346	0.000311835	2020.19945355191	65	North America
EPI_ISL_421352	0.000334056	2020.19945355191	70	North America
EPI_ISL_421360	0.000311852	2020.19672131148	72	North America
EPI_ISL_421383	0.000278507	2020.21038251366	67	North America
EPI_ISL_421387	0.00034517	2020.2131147541	64	North America
EPI_ISL_421388	0.000445444000000001	2020.21038251366	85	North America
EPI_ISL_421397	0.000479353000000001	2020.20765027322	80	North America
EPI_ISL_421399	0.000311807	2020.20765027322	65	North America
EPI_ISL_421406	0.000278459	2020.21038251366	67	North America
EPI_ISL_421426	0.000400504	2020.20765027322	15	North America
EPI_ISL_421427	0.000278459	2020.20765027322	68	North America
EPI_ISL_421549	0.000233801	2020.19945355191	29	North America
EPI_ISL_421605	0.000283879	2020.21584699454	68	North America
EPI_ISL_421624	0.000280973	2020.21584699454	68	North America
EPI_ISL_421630	0.000412263	2020.21038251366	80	North America
EPI_ISL_421653	0.000300638	2020.22950819672	59	Europe
EPI_ISL_421684	0.000334042	2020.20491803279	65	North America
EPI_ISL_421722	0.000311819	2020.21038251366	66	North America
EPI_ISL_421726	0.000311781	2020.21038251366	63	North America
EPI_ISL_421762	0.000284938	2020.20765027322	69	Europe
EPI_ISL_421789	0.000267356	2020.22950819672	36	Europe
EPI_ISL_421796	0.000411968	2020.2349726776	62	Europe
EPI_ISL_421807	0.000400764	2020.22950819672	65	Europe
EPI_ISL_421811	0.000300792	2020.22950819672	69	Europe
EPI_ISL_421836	0.000400833	2020.23224043716	73	Europe
EPI_ISL_421869	0.000334362000000001	2020.2349726776	75	Europe
EPI_ISL_421879	0.000367565	2020.2349726776	54	Europe
EPI_ISL_421882	0.000267244	2020.2349726776	51	Europe
EPI_ISL_421889	0.000200421	2020.2349726776	39	Europe
EPI_ISL_421913	0.000179609	2020.2349726776	30	Europe
EPI_ISL_421919	0.000367335	2020.2349726776	47	Europe
EPI_ISL_421939	0.000204873	2020.24863387978	39	Europe
EPI_ISL_421956	0.000267221	2020.24590163934	51	Europe
EPI_ISL_421962	0.000171519	2020.24863387978	40	Europe
EPI_ISL_421982	0.000367452	2020.24863387978	71	Europe
EPI_ISL_422001	0.000434184	2020.25409836066	73	Europe
EPI_ISL_422018	0.000233816	2020.23770491803	49	Europe
EPI_ISL_422032	0.000300694	2020.2349726776	64	Europe
EPI_ISL_422049	0.000200406	2020.22677595628	33	Europe
EPI_ISL_422065	0.000233807	2020.22677595628	47	Europe
EPI_ISL_422069	0.000267234	2020.24043715847	50	Europe
EPI_ISL_422071	0.000271557	2020.22677595628	42	Europe
EPI_ISL_422091	0.00026719	2020.23770491803	46	Europe
EPI_ISL_422107	0.000434294	2020.22950819672	80	Europe
EPI_ISL_422158	0.000233801	2020.2349726776	39	Europe
EPI_ISL_422162	0.000233819	2020.2349726776	44	Europe
EPI_ISL_422180	0.00050725	2020.22950819672	71	Europe
EPI_ISL_422191	0.000267338	2020.2349726776	65	Europe
EPI_ISL_422418	0.000367508	2020.2131147541	66	Asia
EPI_ISL_422431	0.000333977	2020.24590163934	53	Asia
EPI_ISL_422462	0.000478682	2020.25409836066	74	North America
EPI_ISL_422508	0.000378724	2020.21584699454	61	North America
EPI_ISL_422515	0.000378766	2020.21584699454	67	North America
EPI_ISL_422532	0.000345593	2020.2131147541	70	North America
EPI_ISL_422546	0.000446106	2020.2131147541	80	North America
EPI_ISL_422551	0.000345165	2020.21584699454	64	North America
EPI_ISL_422553	0.000311793	2020.21584699454	61	North America
EPI_ISL_422558	0.000278464	2020.21857923497	68	North America
EPI_ISL_422582	0.000378489	2020.24316939891	61	Europe
EPI_ISL_422586	0.000267228	2020.24316939891	51	Europe
EPI_ISL_422587	0.000238243	2020.24590163934	43	Europe
EPI_ISL_422588	0.000367525	2020.24590163934	78	Europe
EPI_ISL_422612	0.000334009	2020.24863387978	56	Europe
EPI_ISL_422616	0.000333969	2020.25136612022	56	Europe
EPI_ISL_422638	0.000133677	2020.21584699454	26	Europe
EPI_ISL_422656	0.000411963	2020.21038251366	67	Europe
EPI_ISL_422678	0.000367282	2020.1912568306	52	Europe
EPI_ISL_422717	0.000167479	2020.22131147541	26	Europe
EPI_ISL_422732	0.000311848	2020.22950819672	70	Europe
EPI_ISL_422744	0.000284511	2020.22950819672	65	Europe
EPI_ISL_422847	0.000423067	2020.20491803279	69	Europe
EPI_ISL_422869	0.000238242	2020.19672131148	41	Europe
EPI_ISL_422887	0.000201145	2020.18579234973	26	Europe
EPI_ISL_422889	0.00010028	2020.20765027322	25	Europe
EPI_ISL_422908	0.000300582	2020.20765027322	51	Europe
EPI_ISL_422914	0.000423113	2020.2131147541	76	Europe
EPI_ISL_422920	0.000233855	2020.2131147541	50	Europe
EPI_ISL_422926	0.000233796	2020.22404371585	47	Europe
EPI_ISL_422932	0.000389714	2020.22404371585	68	Europe
EPI_ISL_422938	0.000367448	2020.22677595628	67	Europe
EPI_ISL_422940	0.000401271	2020.22677595628	78	Europe
EPI_ISL_422955	0.000400793	2020.2349726776	67	Europe
EPI_ISL_422956	0.000400698	2020.2349726776	45	Europe
EPI_ISL_423020	0.000378645	2020.2131147541	76	North America
EPI_ISL_423074	0.000311474	2020.22677595628	56	Europe
EPI_ISL_423122	0.000233777	2020.22677595628	38	Europe
EPI_ISL_423136	0.000233835	2020.22404371585	42	Europe
EPI_ISL_423151	0.000300467	2020.22677595628	28	Europe
EPI_ISL_423193	0.000267184	2020.22677595628	45	Europe
EPI_ISL_423236	0.000267237	2020.22677595628	53	Europe
EPI_ISL_423246	0.000333943	2020.22950819672	48	Europe
EPI_ISL_423251	0.000233805	2020.22950819672	40	Europe
EPI_ISL_423253	0.00023388	2020.22950819672	50	Europe
EPI_ISL_423269	0.000233798	2020.2349726776	41	Europe
EPI_ISL_423414	0.000200386	2020.2349726776	36	Europe
EPI_ISL_423435	0.000267202	2020.24043715847	51	Europe
EPI_ISL_423440	0.000300734	2020.24316939891	72	Europe
EPI_ISL_423453	0.000378591	2020.24043715847	60	Europe
EPI_ISL_423469	0.000401042	2020.24590163934	39	Europe
EPI_ISL_423492	0.000200329	2020.24590163934	16	Europe
EPI_ISL_423521	0.000401003	2020.24316939891	66	Europe
EPI_ISL_423561	0.000334048	2020.24590163934	67	Europe
EPI_ISL_423570	0.000267226	2020.24863387978	54	Europe
EPI_ISL_423574	6.6841e-05	2020.24863387978	15	Europe
EPI_ISL_423592	0.000267091	2020.25136612022	29	Europe
EPI_ISL_423632	0.000267203	2020.21857923497	51	Europe
EPI_ISL_423665	0.000233759	2020.22404371585	38	Europe
EPI_ISL_423718	0.000233827	2020.22404371585	44	Europe
EPI_ISL_423772	0.000434157	2020.22131147541	67	Europe
EPI_ISL_423774	0.000200452	2020.22131147541	44	Europe
EPI_ISL_423780	0.000300719	2020.22677595628	67	Europe
EPI_ISL_423797	0.000389681	2020.22404371585	70	Europe
EPI_ISL_423838	0.000334049	2020.22677595628	61	Europe
EPI_ISL_423906	0.000267137	2020.2131147541	36	Europe
EPI_ISL_423907	0.000234089	2020.21038251366	42	Europe
EPI_ISL_423938	0.000200461	2020.2131147541	37	Europe
EPI_ISL_423948	0.000345215	2020.21038251366	69	Europe
EPI_ISL_423952	0.000300568	2020.2131147541	45	Europe
EPI_ISL_424003	0.000267584	2020.21584699454	50	Europe
EPI_ISL_424062	0.000133835	2020.1912568306	19	Europe
EPI_ISL_424198	0.000167049	2020.21584699454	28	North America
EPI_ISL_424205	0.000278444	2020.21584699454	65	North America
EPI_ISL_424221	0.000278444	2020.21857923497	68	North America
EPI_ISL_424230	0.000233782	2020.21857923497	31	North America
EPI_ISL_424258	0.000202042	2020.22131147541	33	North America
EPI_ISL_424266	0.000200461	2020.22131147541	33	North America
EPI_ISL_424286	0.000267146	2020.21584699454	21	North America
EPI_ISL_424287	0.000267175	2020.22404371585	27	North America
EPI_ISL_424291	0.000311948000000001	2020.22404371585	81	North America
EPI_ISL_424299	0.000422222000000001	2020.22404371585	81	North America
EPI_ISL_424315	0.000480724	2020.21584699454	78	North America
EPI_ISL_424341	0.000411976	2020.22677595628	74	North America
EPI_ISL_424351	0.000333707	2020.2349726776	12	North America
EPI_ISL_424359	0.000133582	2020.07103825137	22	Asia
EPI_ISL_424365	0.000300662	2020.20765027322	59	Asia
EPI_ISL_424366	0.000233772	2020.20765027322	29	Europe
EPI_ISL_424399	0.000167045	2020.2131147541	32	Europe
EPI_ISL_424426	0.000434174	2020.2131147541	69	Europe
EPI_ISL_424427	0.000204893	2020.2131147541	40	Europe
EPI_ISL_424503	0.000238279	2020.21584699454	46	Europe
EPI_ISL_424575	0.000267345	2020.23770491803	57	Europe
EPI_ISL_424588	0.000300681	2020.23770491803	58	Europe
EPI_ISL_424622	0.000378665	2020.23770491803	75	Europe
EPI_ISL_424641	0.000271536	2020.25409836066	33	Europe
EPI_ISL_424660	0.00030067	2020.25956284153	59	Europe
EPI_ISL_424668	0.000200429	2020.20491803279	29	North America
EPI_ISL_424869	0.000311824	2020.17213114754	66	North America
EPI_ISL_424929	0.00027831	2020.24590163934	45	North America
EPI_ISL_424943	0.000478775000000001	2020.24863387978	89	North America
EPI_ISL_424947	0.000311786	2020.24863387978	63	North America
EPI_ISL_424960	0.000278454	2020.24863387978	67	North America
EPI_ISL_424973	0.000345209	2020.20765027322	68	Asia
EPI_ISL_425127	0.000278539	2020.2131147541	76	Europe
EPI_ISL_425153	0.000333769	2020.24863387978	14	North America
EPI_ISL_425157	0.000300602	2020.25409836066	57	North America
EPI_ISL_425158	0.000333957	2020.24590163934	58	North America
EPI_ISL_425161	0.000311793	2020.25683060109	69	North America
EPI_ISL_425168	0.000345146	2020.24590163934	60	North America
EPI_ISL_425169	0.00033397	2020.24316939891	59	North America
EPI_ISL_425171	0.000434167	2020.24316939891	75	North America
EPI_ISL_425218	0.000100145	2020.20765027322	11	Europe
EPI_ISL_425221	0.000300548	2020.20765027322	46	Europe
EPI_ISL_425229	0.000367552000000001	2020.2131147541	75	Europe
EPI_ISL_425234	0.000300654	2020.24043715847	60	Europe
EPI_ISL_425246	0.000367361	2020.24590163934	59	Europe
EPI_ISL_425248	0.000567684	2020.24316939891	74	Europe
EPI_ISL_425286	0.000267221	2020.21584699454	55	Europe
EPI_ISL_425306	0.000319054	2020.23770491803	72	Europe
EPI_ISL_425333	0.000267142	2020.24043715847	41	Europe
EPI_ISL_425362	0.000267166	2020.20765027322	43	Europe
EPI_ISL_425398	0.00023403	2020.19945355191	36	Europe
EPI_ISL_425435	0.000233801	2020.24863387978	47	Europe
EPI_ISL_425441	0.000200382	2020.24590163934	28	Europe
EPI_ISL_425475	0.000233764	2020.19945355191	31	Europe
EPI_ISL_425481	0.000267115	2020.20491803279	31	Europe
EPI_ISL_425532	0.000300592	2020.21857923497	50	Europe
EPI_ISL_425547	0.000233782	2020.22131147541	39	Europe
EPI_ISL_425562	0.000267124	2020.22950819672	32	Europe
EPI_ISL_425630	0.000281576	2020.24043715847	42	Europe
EPI_ISL_425658	0.000400467	2020.20218579235	12	Europe
EPI_ISL_425662	0.00010027	2020.19398907104	26	Europe
EPI_ISL_425668	0.000238209	2020.19945355191	38	Europe
EPI_ISL_425700	0.000133619	2020.20765027322	19	Europe
EPI_ISL_425721	0.000200406	2020.20765027322	28	Europe
EPI_ISL_425732	0.000238234	2020.21038251366	41	Europe
EPI_ISL_425762	0.000133624	2020.19672131148	19	Europe
EPI_ISL_425773	0.000204867	2020.19672131148	41	Europe
EPI_ISL_425782	0.00033397	2020.19945355191	51	Europe
EPI_ISL_425795	0.000367423	2020.1693989071	71	Europe
EPI_ISL_425801	0.000267247	2020.18579234973	55	Europe
EPI_ISL_425807	0.000233868	2020.1693989071	48	Europe
EPI_ISL_425828	0.000200437	2020.19398907104	41	Europe
EPI_ISL_425842	0.000311719	2020.1912568306	53	Europe
EPI_ISL_425844	0.000334041	2020.1912568306	65	Europe
EPI_ISL_425870	0.000300553	2020.21584699454	46	Europe
EPI_ISL_425890	0.000367418	2020.21584699454	67	Europe
EPI_ISL_425893	0.000233869	2020.22131147541	51	Europe
EPI_ISL_425908	0.00036758	2020.22404371585	43	Europe
EPI_ISL_425922	0.000238238	2020.22404371585	43	Europe
EPI_ISL_425934	0.000100266	2020.22950819672	24	Europe
EPI_ISL_425950	0.000300571	2020.23224043716	45	Europe
EPI_ISL_425951	0.000267244	2020.2349726776	51	Europe
EPI_ISL_425953	0.000367359	2020.23224043716	54	Europe
EPI_ISL_425968	0.000304971	2020.23770491803	39	Europe
EPI_ISL_425996	0.000367422	2020.24316939891	68	Europe
EPI_ISL_426024	0.000204869	2020.24590163934	42	Europe
EPI_ISL_426078	0.000311788	2020.22404371585	64	North America
EPI_ISL_426095	0.000311762	2020.22950819672	58	North America
EPI_ISL_426096	0.000367545	2020.22950819672	30	North America
EPI_ISL_426109	0.000345226	2020.22950819672	72	North America
EPI_ISL_426120	0.000200424	2020.22950819672	32	North America
EPI_ISL_426171	0.000100177	2020.0956284153	6	Asia
EPI_ISL_426315	0.000345164	2020.2131147541	64	North America
EPI_ISL_426429	0.000133595	2020.18032786885	22	North America
EPI_ISL_426454	0.000378527	2020.22404371585	58	North America
EPI_ISL_426461	0.000345176	2020.2349726776	65	North America
EPI_ISL_426522	0.000411914	2020.21584699454	67	North America
EPI_ISL_426527	0.000233775	2020.20765027322	41	North America
EPI_ISL_426537	0.000200389	2020.20765027322	26	North America
EPI_ISL_426551	0.000345096	2020.2349726776	56	North America
EPI_ISL_426632	0.000345142	2020.20765027322	64	Asia
EPI_ISL_426637	0.000167007	2020.20765027322	29	Oceania
EPI_ISL_426646	0.000233877	2020.21584699454	55	Oceania
EPI_ISL_426653	0.000300487	2020.21584699454	30	Oceania
EPI_ISL_426669	0.000400845	2020.22131147541	66	Oceania
EPI_ISL_426675	0.000200311	2020.22131147541	19	Oceania
EPI_ISL_426679	0.000434289	2020.22131147541	63	Oceania
EPI_ISL_426682	0.000267387	2020.22131147541	69	Oceania
EPI_ISL_426692	0.000200393	2020.22404371585	30	Oceania
EPI_ISL_426697	0.000400814000000001	2020.22677595628	77	Oceania
EPI_ISL_426702	0.000267265	2020.22677595628	57	Oceania
