genome	path	time	node	host
Rs9401.Bat-R_sinicus.Yunnan-Kunming.KY417152.2015-10-16	0.2235639545	2015.78904109589	9	Bat
RsSHC014.Bat-R_sinicus.Yunnan-Kunming.KC881005.2011-04-17	0.2259693533	2011.2904109589	9	Bat
SX2013.Bat-R_ferrumequinum.Shanxi.KJ473813.2013-11	0.2650101915	2013.87123287671	7	Bat
WIV1.Bat-R_sinicus.Yunnan-Kunming.KF367457.2012-09	0.2254398797	2012.70491803279	11	Bat
WIV16.Bat-R_sinicus.Yunnan-Kunming.KT444582.2013-07-21	0.2332901689	2013.55068493151	14	Bat
Wuhan-Hu-1.SARS-CoV-2.Wuhan.MN908947.2019-12	0.4224289871	2019.95616438356	3	Human
YN2013.Bat-R_sinicus.Yunnan.KJ473816.2010-12	0.2240469159	2010.95616438356	8	Bat
YN2018A.Bat-R_affinis.Yunnan.MK211375.2016-09	0.2266817765	2016.70491803279	7	Bat
YN2018B.Bat-R_affinis.Yunnan.MK211376.2016-09	0.2265871832	2016.70491803279	12	Bat
YN2018C.Bat-R_affinis.Yunnan-Kunming.MK211377.2016-09	0.2250571342	2016.70491803279	10	Bat
YN2018D.Bat-R_affinis.Yunnan.MK211378.2016-09	0.2312546744	2016.70491803279	12	Bat
YNLF_31C.Bat-R_Ferrumequinum.Yunnan-Lufeng.KP886808.2013-05-23	0.2315097933	2013.38904109589	6	Bat
YNLF_34C.Bat-R_Ferrumequinum.Yunnan-Lufeng.KP886809.2013-05-23	0.2323307221	2013.38904109589	6	Bat
Yunnan2011.Bat-Chaerephon_plicata.Yunnan.JX993988.2011-11	0.2370128703	2011.87123287671	3	Bat
